Genome Name,,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline
Acinetobacter baumannii strain MRSN7359,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7360,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7361,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7362,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7363,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7364,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7365,,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7366,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7367,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7370,,Susceptible,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7372,,Susceptible,NA,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7373,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7375,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7376,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7377,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7378,,Susceptible,Resistant,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7379,,Susceptible,NA,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7380,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7381,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7382,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7383,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7385,,Resistant,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7386,,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7387,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7388,,Susceptible,NA,Resistant,NA,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7389,,Susceptible,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7390,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7391,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7392,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7393,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7394,,Susceptible,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7397,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7398,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7401,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7402,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7403,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7404,,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7405,,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7406,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7407,,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7408,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7409,,Susceptible,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7410,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7411,,Susceptible,Susceptible,Susceptible,Resistant,NA,NA,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7412,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7413,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7414,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7415,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7416,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7417,,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7418,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7419,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7420,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7421,,Susceptible,NA,Resistant,NA,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7423,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7424,,Resistant,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7436,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7437,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7438,,Susceptible,Susceptible,Susceptible,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7440,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7441,,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7447,,Resistant,Resistant,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7448,,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7454,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7455,,Susceptible,NA,Resistant,NA,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7456,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7457,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7458,,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7459,,Susceptible,NA,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7461,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7462,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7465,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,NA,NA,NA
Acinetobacter baumannii strain MRSN7467,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7468,,Resistant,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7469,,Resistant,NA,Resistant,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7470,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7471,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7474,,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7475,,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7477,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7478,,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7479,,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7481,,Susceptible,NA,NA,NA,Resistant,NA,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7483,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7484,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7485,,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7487,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7488,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7489,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7491,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7492,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7495,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7497,,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7498,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7499,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7500,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7504,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7505,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7506,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7508,,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7509,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7510,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7511,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7512,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7515,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7517,,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7518,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7520,,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7521,,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7524,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7525,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7526,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7531,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7532,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7535,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7539,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7543,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7544,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7545,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7547,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7548,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7549,,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7550,,Resistant,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7551,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7555,,Susceptible,Susceptible,NA,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7557,,Resistant,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,Resistant,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
