Genome Name,,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline
Acinetobacter baumannii strain MRSN2021,,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN2024,,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,NA,NA,NA
Acinetobacter baumannii strain MRSN2427,,Resistant,Resistant,NA,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN2441,,Resistant,Resistant,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN2839,,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN2840,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN3360,,Susceptible,Susceptible,Resistant,Resistant,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,NA,NA,NA
Acinetobacter baumannii strain MRSN3547,,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN3607,,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN3851,,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,NA,NA
